Equipment Name,Type,Flowrate,Pressure,Temperature
Equipment_1,Separator,492.77,10.52,55.73
Equipment_2,Reactor,457.76,14.25,302.34
Equipment_3,Condenser,74.95,2.38,269.51
Equipment_4,Separator,424.87,18.84,289.87
Equipment_5,Valve,256.01,9.72,249.7
Equipment_6,Condenser,166.53,18.83,65.46
Equipment_7,Condenser,445.44,3.04,102.35
Equipment_8,Separator,138.5,19.05,372.79
Equipment_9,Compressor,476.28,3.07,131.52
Equipment_10,Valve,142.53,9.77,397.53
Equipment_11,Separator,326.16,18.82,287.86
Equipment_12,Valve,150.39,5.42,205.52
Equipment_13,Valve,295.55,1.66,372.02
Equipment_14,Condenser,357.79,16.07,328.25
Equipment_15,Reactor,135.6,12.32,200.14
Equipment_16,Valve,284.4,10.76,74.01
Equipment_17,HeatExchanger,261.08,1.65,353.91
Equipment_18,Condenser,81.97,13.41,317.76
Equipment_19,Compressor,418.24,4.26,326.76
Equipment_20,Reactor,201.06,18.69,310.7
Equipment_21,HeatExchanger,308.56,14.03,146.51
Equipment_22,HeatExchanger,281.65,14.43,350.6
Equipment_23,Compressor,280.97,5.42,50.78
Equipment_24,Reactor,98.25,17.73,133.05
Equipment_25,Condenser,240.57,11.22,66.3
Equipment_26,Pump,253.57,17.28,88.71
Equipment_27,Reactor,380.14,6.15,236.33
Equipment_28,Compressor,428.01,15.35,63.04
Equipment_29,HeatExchanger,295.24,11.92,113.48
Equipment_30,Condenser,89.05,1.92,131.46
Equipment_31,Reactor,156.58,8.7,279.37
Equipment_32,Pump,124.22,4.49,214.09
Equipment_33,Pump,106.08,7.82,210.44
Equipment_34,Valve,214.65,8.28,318.95
Equipment_35,Valve,153.23,10.02,209.85
Equipment_36,Separator,148.24,12.41,171.97
Equipment_37,Compressor,74.61,11.85,386.86
Equipment_38,Reactor,57.95,1.74,52.9
Equipment_39,Reactor,96.25,15.26,156.89
Equipment_40,Separator,127.49,19.03,263.29
Equipment_41,HeatExchanger,243.94,7.62,323.98
Equipment_42,HeatExchanger,279.73,4.42,335.74
Equipment_43,Separator,113.27,11.26,66.13
Equipment_44,HeatExchanger,241.15,14.39,298.2
Equipment_45,Valve,203.79,13.9,302.09
Equipment_46,Reactor,132.54,12.63,124.93
Equipment_47,Separator,53.08,3.78,89.47
Equipment_48,Reactor,260.16,16.9,312.39
Equipment_49,Pump,358.54,9.09,137.33
Equipment_50,Valve,151.82,5.21,50.59
Equipment_51,Condenser,109.31,2.64,128.25
Equipment_52,Valve,449.17,8.92,60.87
Equipment_53,Separator,173.76,12.74,137.22
Equipment_54,Condenser,150.63,13.64,167.26
Equipment_55,Pump,435.69,19.29,144.99
Equipment_56,Separator,417.7,3.91,371.98
Equipment_57,Compressor,251.76,19.73,131.39
Equipment_58,Reactor,270.16,13.44,213.64
Equipment_59,Pump,147.99,9.63,385.1
Equipment_60,Reactor,85.24,17.88,357.72
Equipment_61,HeatExchanger,308.04,14.2,158.24
Equipment_62,Compressor,94.26,7.63,164.27
Equipment_63,Compressor,252.17,17.8,257.67
Equipment_64,Pump,473.22,13.67,371.25
Equipment_65,Compressor,478.78,14.28,53.5
Equipment_66,Condenser,157.7,18.03,187.59
Equipment_67,Compressor,330.85,9.52,347.42
Equipment_68,Reactor,263.33,13.48,193.66
Equipment_69,Reactor,444.06,15.15,302.02
Equipment_70,Separator,172.14,9.62,292.17
Equipment_71,Reactor,51.67,2.59,121.91
Equipment_72,Separator,123.15,15.66,207.36
Equipment_73,Reactor,207.29,1.91,248.17
Equipment_74,Condenser,192.07,14.64,300.41
Equipment_75,Separator,406.11,18.31,337.84
Equipment_76,Valve,356.25,7.59,315.98
Equipment_77,HeatExchanger,184.8,2.94,59.91
Equipment_78,Pump,255.98,5.42,284.72
Equipment_79,Reactor,93.0,11.68,224.06
Equipment_80,Compressor,454.17,18.91,250.85
Equipment_81,Reactor,470.94,10.73,180.54
Equipment_82,Compressor,490.91,3.14,299.91
Equipment_83,HeatExchanger,440.85,12.93,285.86
Equipment_84,HeatExchanger,128.28,14.92,252.82
Equipment_85,HeatExchanger,70.79,8.47,351.56
Equipment_86,Compressor,310.82,14.71,85.67
Equipment_87,Reactor,460.67,7.17,155.36
Equipment_88,HeatExchanger,129.81,15.99,223.3
Equipment_89,Condenser,53.17,7.48,385.51
Equipment_90,Separator,412.47,5.87,75.19
Equipment_91,Compressor,84.56,17.7,167.98
Equipment_92,Compressor,236.17,11.42,374.06
Equipment_93,Reactor,355.5,6.42,364.28
Equipment_94,Compressor,156.56,18.77,352.84
Equipment_95,Compressor,87.78,14.13,157.94
Equipment_96,HeatExchanger,396.51,5.19,346.39
Equipment_97,Reactor,333.58,12.68,226.87
Equipment_98,HeatExchanger,494.82,17.54,266.92
Equipment_99,Separator,204.94,14.23,133.59
Equipment_100,Separator,77.79,5.65,297.34
Equipment_101,HeatExchanger,380.46,13.33,164.69
Equipment_102,Separator,284.78,12.76,170.36
Equipment_103,Reactor,145.94,16.6,272.89
Equipment_104,Pump,401.78,4.38,133.94
Equipment_105,HeatExchanger,141.69,14.29,128.55
Equipment_106,Condenser,167.3,1.52,179.21
Equipment_107,Condenser,91.64,14.23,322.32
Equipment_108,Compressor,229.74,19.25,128.64
Equipment_109,Separator,238.52,4.31,325.56
Equipment_110,Condenser,281.55,6.91,293.46
Equipment_111,Compressor,369.03,12.07,287.68
Equipment_112,Pump,457.75,14.92,216.16
Equipment_113,Reactor,111.98,7.54,311.06
Equipment_114,Reactor,74.46,13.62,54.73
Equipment_115,Reactor,58.34,18.09,156.96
Equipment_116,Condenser,114.63,14.8,287.7
Equipment_117,Pump,346.08,14.51,395.55
Equipment_118,Condenser,377.36,8.26,50.88
Equipment_119,Separator,403.93,18.32,228.49
Equipment_120,Condenser,159.67,6.27,373.34
Equipment_121,Pump,187.65,4.9,352.24
Equipment_122,Pump,267.41,7.92,58.1
Equipment_123,Separator,78.43,13.35,235.35
Equipment_124,Pump,325.01,17.37,51.5
Equipment_125,Pump,492.68,3.51,326.35
Equipment_126,Reactor,212.36,16.46,158.11
Equipment_127,Separator,388.78,16.44,317.96
Equipment_128,Valve,275.02,12.15,380.68
Equipment_129,Valve,107.52,15.45,391.63
Equipment_130,Pump,312.01,4.46,362.94
Equipment_131,Valve,184.94,4.22,121.45
Equipment_132,Valve,65.48,17.39,118.11
Equipment_133,Pump,335.72,10.46,269.02
Equipment_134,Valve,436.52,5.67,240.42
Equipment_135,Condenser,205.15,14.09,53.34
Equipment_136,Compressor,225.63,17.95,187.1
Equipment_137,Separator,450.96,13.01,367.34
Equipment_138,Compressor,416.12,7.6,364.43
Equipment_139,Pump,371.73,10.18,121.37
Equipment_140,Reactor,161.96,15.29,183.69
Equipment_141,Separator,459.6,2.28,246.13
Equipment_142,Pump,119.49,5.13,348.47
Equipment_143,Reactor,332.05,9.79,236.2
Equipment_144,Compressor,62.96,12.48,388.87
Equipment_145,Pump,339.67,7.44,329.67
Equipment_146,Separator,174.71,6.67,383.58
Equipment_147,Separator,252.35,1.79,306.02
Equipment_148,HeatExchanger,205.37,1.62,357.17
Equipment_149,Condenser,127.74,6.3,340.85
Equipment_150,Valve,329.89,11.08,138.84
Equipment_151,Reactor,446.89,11.57,130.34
Equipment_152,HeatExchanger,481.59,10.39,352.53
Equipment_153,Valve,136.56,8.79,79.64
Equipment_154,Valve,372.82,5.79,193.0
Equipment_155,Pump,348.95,8.61,337.23
Equipment_156,Valve,204.52,3.64,334.63
Equipment_157,Condenser,58.59,3.19,98.57
Equipment_158,Separator,360.41,6.7,220.7
Equipment_159,HeatExchanger,475.47,19.91,217.94
Equipment_160,Valve,334.45,7.2,163.3
Equipment_161,Pump,245.88,18.79,371.01
Equipment_162,Condenser,286.32,8.45,278.59
Equipment_163,Compressor,139.83,9.34,393.07
Equipment_164,Separator,387.74,16.14,73.37
Equipment_165,Separator,385.89,2.78,188.02
Equipment_166,HeatExchanger,115.48,4.46,342.3
Equipment_167,Separator,445.09,19.5,197.94
Equipment_168,Valve,171.14,10.61,141.66
Equipment_169,Pump,492.02,1.84,399.23
Equipment_170,Separator,222.31,1.9,355.59
Equipment_171,Separator,130.05,18.24,241.27
Equipment_172,Compressor,208.27,17.59,246.6
Equipment_173,Compressor,248.08,9.71,52.4
Equipment_174,Reactor,81.19,4.1,393.35
Equipment_175,Condenser,310.2,16.78,332.2
Equipment_176,Valve,318.93,7.17,62.86
Equipment_177,Separator,382.52,8.96,111.72
Equipment_178,Separator,63.13,13.97,337.36
Equipment_179,Pump,293.56,7.71,80.4
Equipment_180,Reactor,73.81,12.94,379.63
Equipment_181,Condenser,365.51,17.82,399.96
Equipment_182,Reactor,75.08,16.15,360.25
Equipment_183,HeatExchanger,460.28,8.25,308.62
Equipment_184,Condenser,365.94,6.47,220.55
Equipment_185,Separator,278.33,6.42,78.85
Equipment_186,Separator,248.68,7.62,305.66
Equipment_187,Condenser,108.8,10.38,188.9
Equipment_188,Separator,180.95,8.92,249.58
Equipment_189,Valve,441.03,3.53,152.69
Equipment_190,Condenser,457.0,4.11,134.75
Equipment_191,Reactor,50.34,7.52,163.5
Equipment_192,Condenser,317.36,11.68,334.84
Equipment_193,Separator,373.69,12.26,199.27
Equipment_194,Valve,328.44,10.24,159.1
Equipment_195,Valve,86.76,15.04,201.54
Equipment_196,HeatExchanger,147.98,15.01,61.3
Equipment_197,Reactor,162.65,9.12,361.71
Equipment_198,Compressor,424.28,3.36,243.12
Equipment_199,Compressor,258.44,11.07,86.69
Equipment_200,Condenser,269.07,8.25,150.94
Equipment_201,HeatExchanger,470.7,3.62,394.24
Equipment_202,Pump,336.69,19.65,257.57
Equipment_203,Condenser,454.4,8.03,151.99
Equipment_204,HeatExchanger,255.43,12.89,199.22
Equipment_205,Reactor,117.25,10.31,140.47
Equipment_206,Reactor,468.47,3.71,61.13
Equipment_207,Reactor,256.42,2.06,344.71
Equipment_208,Reactor,131.73,12.89,152.37
Equipment_209,Reactor,186.08,5.69,343.44
Equipment_210,HeatExchanger,72.86,5.63,217.49
Equipment_211,HeatExchanger,260.74,19.18,114.01
Equipment_212,Valve,433.91,9.77,330.65
Equipment_213,Compressor,470.11,1.56,181.99
Equipment_214,Separator,469.67,7.46,297.71
Equipment_215,Reactor,106.35,12.11,343.03
Equipment_216,Pump,221.92,7.24,387.04
Equipment_217,Separator,62.7,1.51,80.04
Equipment_218,HeatExchanger,434.82,9.44,52.94
Equipment_219,Pump,211.44,3.01,241.95
Equipment_220,Pump,334.0,12.76,142.48
Equipment_221,Pump,371.7,12.77,214.19
Equipment_222,Valve,243.43,1.72,75.43
Equipment_223,HeatExchanger,187.9,6.52,225.56
Equipment_224,Pump,483.0,8.86,93.7
Equipment_225,Reactor,484.02,11.46,343.51
Equipment_226,Condenser,180.25,6.63,315.82
Equipment_227,Pump,265.83,6.47,75.93
Equipment_228,Valve,487.78,19.68,342.72
Equipment_229,Separator,52.19,1.8,163.74
Equipment_230,HeatExchanger,235.71,19.79,173.5
Equipment_231,Valve,95.21,1.91,112.93
Equipment_232,Pump,279.12,6.48,342.36
Equipment_233,HeatExchanger,61.1,10.38,191.65
Equipment_234,Condenser,233.1,3.72,67.09
Equipment_235,Pump,149.31,3.56,388.19
Equipment_236,Valve,289.99,5.87,139.56
Equipment_237,Compressor,498.2,19.5,377.66
Equipment_238,Reactor,410.24,8.22,155.43
Equipment_239,Separator,430.54,11.75,341.0
Equipment_240,Valve,335.87,14.38,282.48
Equipment_241,HeatExchanger,68.7,15.1,351.45
Equipment_242,Pump,143.06,14.07,391.64
Equipment_243,Reactor,466.28,7.4,355.02
Equipment_244,Pump,214.75,3.12,191.28
Equipment_245,HeatExchanger,96.64,6.35,335.08
Equipment_246,Pump,366.08,5.0,299.08
Equipment_247,Compressor,184.76,3.59,71.56
Equipment_248,Reactor,170.99,1.47,375.42
Equipment_249,Reactor,499.09,18.78,213.09
Equipment_250,HeatExchanger,436.16,18.5,97.06
Equipment_251,Separator,233.57,1.96,198.88
Equipment_252,Compressor,491.12,4.29,261.1
Equipment_253,Valve,342.55,3.65,250.53
Equipment_254,Pump,383.91,6.34,251.18
Equipment_255,Condenser,64.18,4.88,139.54
Equipment_256,Pump,104.72,18.97,271.45
Equipment_257,Pump,334.89,2.6,367.6
Equipment_258,Valve,454.56,5.02,186.03
Equipment_259,Pump,330.68,2.53,270.7
Equipment_260,Compressor,110.31,19.63,135.4
Equipment_261,Compressor,102.09,18.45,66.9
Equipment_262,Reactor,429.88,14.62,255.01
Equipment_263,HeatExchanger,112.69,9.09,66.64
Equipment_264,Separator,284.1,4.61,303.25
Equipment_265,Condenser,66.7,5.21,284.62
Equipment_266,Pump,86.3,9.42,179.26
Equipment_267,Pump,352.56,15.6,193.95
Equipment_268,Valve,360.13,6.03,371.22
Equipment_269,HeatExchanger,203.66,6.91,54.6
Equipment_270,Compressor,147.02,12.4,247.16
Equipment_271,Condenser,416.17,5.52,373.18
Equipment_272,Reactor,147.7,12.1,369.9
Equipment_273,Compressor,293.91,8.36,254.63
Equipment_274,HeatExchanger,485.69,1.65,183.43
Equipment_275,Separator,116.53,8.65,84.62
Equipment_276,Reactor,473.39,18.47,110.82
Equipment_277,Separator,132.3,6.57,287.89
Equipment_278,Valve,305.35,7.13,55.82
Equipment_279,Valve,219.65,2.25,359.22
Equipment_280,Pump,484.22,12.69,255.78
Equipment_281,Separator,173.09,17.14,65.8
Equipment_282,HeatExchanger,229.85,7.71,133.92
Equipment_283,Condenser,492.29,5.56,257.97
Equipment_284,Reactor,291.41,19.18,62.46
Equipment_285,Compressor,276.18,15.16,323.0
Equipment_286,HeatExchanger,166.0,11.78,371.97
Equipment_287,HeatExchanger,365.61,6.81,386.43
Equipment_288,Valve,56.47,5.2,306.78
Equipment_289,Separator,72.28,14.6,349.89
Equipment_290,Pump,319.71,10.91,263.75
Equipment_291,Pump,203.75,10.89,210.49
Equipment_292,Reactor,478.99,2.4,299.6
Equipment_293,Valve,456.44,10.73,128.46
Equipment_294,HeatExchanger,371.17,16.63,88.42
Equipment_295,Condenser,418.17,18.99,316.65
Equipment_296,Valve,350.3,3.03,385.37
Equipment_297,Reactor,106.51,12.99,252.12
Equipment_298,Reactor,394.49,11.8,218.89
Equipment_299,Valve,144.59,17.92,237.04
Equipment_300,Reactor,195.55,15.27,217.46
Equipment_301,Valve,418.66,19.34,204.77
Equipment_302,Compressor,291.44,19.24,381.46
Equipment_303,Valve,436.97,5.29,217.92
Equipment_304,Separator,145.87,14.78,78.39
Equipment_305,Valve,323.5,11.08,317.93
Equipment_306,Reactor,87.71,5.08,187.05
Equipment_307,Separator,339.38,4.7,298.74
Equipment_308,Reactor,393.14,2.54,252.85
Equipment_309,Pump,313.22,16.12,299.61
Equipment_310,Pump,169.8,7.17,71.7
Equipment_311,Separator,64.1,17.28,61.86
Equipment_312,Compressor,103.75,12.56,182.49
Equipment_313,Pump,330.04,13.8,292.61
Equipment_314,Valve,470.49,6.54,128.29
Equipment_315,Reactor,142.94,9.69,201.69
Equipment_316,Pump,380.76,8.83,393.28
Equipment_317,Pump,439.9,5.48,125.21
Equipment_318,Compressor,284.4,16.82,346.78
Equipment_319,Separator,351.17,12.82,338.91
Equipment_320,Separator,416.76,1.71,361.97
Equipment_321,HeatExchanger,167.3,16.58,370.3
Equipment_322,Compressor,183.6,3.01,227.56
Equipment_323,Valve,50.28,8.67,288.68
Equipment_324,Separator,483.39,11.85,266.61
Equipment_325,Reactor,462.9,1.15,158.13
Equipment_326,Compressor,394.06,13.41,147.93
Equipment_327,Pump,85.58,13.53,169.55
Equipment_328,Reactor,251.38,13.4,126.46
Equipment_329,Reactor,95.85,4.11,315.08
Equipment_330,Pump,57.16,5.86,387.6
Equipment_331,Compressor,327.28,5.7,353.72
Equipment_332,Pump,482.37,19.24,126.28
Equipment_333,HeatExchanger,456.29,2.28,68.17
Equipment_334,Reactor,363.54,9.15,314.98
Equipment_335,Condenser,93.49,17.55,186.57
Equipment_336,Condenser,173.37,15.62,338.61
Equipment_337,Valve,194.03,16.63,322.73
Equipment_338,Separator,393.42,19.47,268.89
Equipment_339,Pump,411.01,8.36,139.37
Equipment_340,Pump,223.3,6.88,86.41
Equipment_341,Valve,238.05,1.58,138.43
Equipment_342,Valve,70.03,3.85,228.42
Equipment_343,Valve,180.11,11.68,392.81
Equipment_344,Reactor,253.08,4.0,72.29
Equipment_345,HeatExchanger,102.64,14.99,120.03
Equipment_346,Pump,253.97,1.71,269.55
Equipment_347,Reactor,433.93,5.93,156.53
Equipment_348,Valve,311.59,14.21,350.48
Equipment_349,Pump,85.52,5.85,98.8
Equipment_350,Reactor,136.25,14.85,387.11
Equipment_351,HeatExchanger,263.54,19.92,369.33
Equipment_352,Reactor,212.67,16.14,360.64
Equipment_353,HeatExchanger,211.43,7.49,110.57
Equipment_354,Valve,288.17,18.11,165.32
Equipment_355,HeatExchanger,312.98,1.97,331.43
Equipment_356,Pump,408.59,14.78,332.73
Equipment_357,Valve,203.43,1.44,296.81
Equipment_358,Pump,412.46,4.32,206.82
Equipment_359,Condenser,202.38,19.76,159.06
Equipment_360,Compressor,74.94,7.86,387.04
Equipment_361,HeatExchanger,299.38,16.59,98.74
Equipment_362,Compressor,314.56,8.15,65.31
Equipment_363,Compressor,470.54,16.96,53.2
Equipment_364,HeatExchanger,376.73,19.34,321.26
Equipment_365,Valve,463.0,9.28,69.85
Equipment_366,Condenser,458.76,11.63,238.53
